14,15,20,21,22,37,58,59,132,169,364,365,373,377,378,391,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,135,138,145,146,149,151,152,154,155,157,159,160,161,163,165,170,370,376,390,392,,,,,,,,,,,,,,,,,,,,,,
144,162,374,375,382,383,384,385,386,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18,38,133,136,164,171,363,371,372,379,381,389,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,153,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,150,156,361,505,508,509,511,512,514,515,517,518,520,524,527,528,529,530,531,532,536,539,540,542,543,545,547,548,550,551,552,556,557,558,566,582,584,,,,,
27,506,507,510,516,519,521,522,523,525,533,538,554,555,560,561,565,581,,,,,,,,,,,,,,,,,,,,,,,,,
513,526,546,563,564,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,534,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,537,544,559,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,139,211,535,553,568,585,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,213,214,541,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,55,140,218,221,227,571,572,573,575,576,577,596,597,598,599,602,,,,,,,,,,,,,,,,,,,,,,,,,,
54,141,142,215,216,219,222,330,578,579,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,56,143,167,223,224,225,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,187,201,230,313,314,315,400,401,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,168,189,191,226,293,302,303,306,307,323,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,196,199,296,297,309,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,294,295,298,299,300,301,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,194,198,200,304,312,404,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,205,207,217,233,285,286,288,289,291,318,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,195,203,290,292,319,388,398,469,485,494,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,311,316,317,482,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,192,232,234,396,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,235,260,263,279,284,310,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,265,273,397,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,270,276,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,236,254,256,325,472,475,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,277,278,280,380,473,476,478,499,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,239,247,283,470,488,489,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,229,244,248,261,262,271,327,483,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,250,257,258,267,268,321,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,41,202,251,434,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,45,52,62,204,228,252,341,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,66,249,281,329,408,409,449,452,455,484,497,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,308,428,429,432,433,436,444,453,459,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,343,413,421,424,426,431,438,439,440,458,460,461,462,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,418,423,441,592,593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,172,403,410,411,414,415,427,464,468,481,501,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,174,177,183,417,420,445,465,569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,178,180,181,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,42,48,53,71,175,184,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,72,74,102,103,104,123,126,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,105,107,108,109,111,112,113,115,116,117,119,120,121,124,179,182,186,188,240,242,246,259,272,282,305,322,490,580,604,,,,,,,,,,,,,
4,47,69,75,78,344,345,416,466,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77,81,110,326,328,332,333,339,348,350,351,352,353,354,355,402,412,587,590,,,,,,,,,,,,,,,,,,,,,,,
6,7,8,11,82,83,84,101,130,255,334,335,336,346,347,349,425,446,447,586,605,,,,,,,,,,,,,,,,,,,,,,
10,24,26,28,79,85,86,87,91,92,94,95,96,127,131,176,340,367,369,419,422,430,502,,,,,,,,,,,,,,,,,,,,
2,23,25,30,50,57,73,80,99,100,118,208,209,338,437,591,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,90,93,106,275,356,357,358,366,368,442,450,588,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,9,60,63,70,88,89,97,98,114,122,125,129,137,185,197,210,231,237,241,243,245,264,266,269,337,342,359,360,394,406,448,451,454,457,471,474,477,479,487,493,496
